Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,1,2,23:30,UTC,-4.1,-1
2021,1,2,23:40,UTC,-4.1,-1.1
2021,1,2,23:50,UTC,-4.2,-0.8
2021,1,3,0:00,UTC,-4.2,-0.8
2021,1,3,0:10,UTC,-4.2,-0.8
2021,1,3,0:20,UTC,-4.2,-0.8
2021,1,3,0:30,UTC,-4.3,-1
2021,1,3,0:40,UTC,-4.3,-1
2021,1,3,0:50,UTC,-4.3,-1.1
2021,1,3,1:00,UTC,-4.4,-1.1
2021,1,3,1:10,UTC,-4.3,-1
2021,1,3,1:20,UTC,-4.3,-1.7
2021,1,3,1:30,UTC,-4.4,-1.2
2021,1,3,1:40,UTC,-4.4,-1.3
2021,1,3,1:50,UTC,-4.4,-1
2021,1,3,2:00,UTC,-4.4,-1
2021,1,3,2:10,UTC,-4.5,-1.3
2021,1,3,2:20,UTC,-4.5,-1
2021,1,3,2:30,UTC,-4.6,-0.9
2021,1,3,2:40,UTC,-4.6,-0.8
2021,1,3,2:50,UTC,-4.6,-0.9
2021,1,3,3:00,UTC,-4.7,-1.1
2021,1,3,3:10,UTC,-4.7,-1.1
2021,1,3,3:20,UTC,-4.7,-1.2
2021,1,3,3:30,UTC,-4.8,-1
2021,1,3,3:40,UTC,-4.8,-1.1
2021,1,3,3:50,UTC,-4.8,-1.1
2021,1,3,4:00,UTC,-4.8,-1.1
2021,1,3,4:10,UTC,-4.9,-1.1
2021,1,3,4:20,UTC,-4.9,-1.4
2021,1,3,4:30,UTC,-4.9,-1
2021,1,3,4:40,UTC,-5,-1
2021,1,3,4:50,UTC,-5,-1.3
2021,1,3,5:00,UTC,-4.9,-1.1
2021,1,3,5:10,UTC,-4.9,-1.1
2021,1,3,5:20,UTC,-4.9,-1.1
2021,1,3,5:30,UTC,-4.9,-0.9
2021,1,3,5:40,UTC,-4.9,-0.9
2021,1,3,5:50,UTC,-4.9,-1
2021,1,3,6:00,UTC,-4.9,-1.3
2021,1,3,6:10,UTC,-4.9,-1.3
2021,1,3,6:20,UTC,-4.9,-1
2021,1,3,6:30,UTC,-5,-1.2
2021,1,3,6:40,UTC,-4.9,-1.2
2021,1,3,6:50,UTC,-5,-0.9
2021,1,3,7:00,UTC,-4.9,-1.3
2021,1,3,7:10,UTC,-4.9,-1
2021,1,3,7:20,UTC,-5,-0.3
2021,1,3,7:30,UTC,-5,0.3
2021,1,3,7:40,UTC,-5,1.5
2021,1,3,7:50,UTC,-5,1.8
2021,1,3,8:00,UTC,-4.9,2.8
2021,1,3,8:10,UTC,-4.8,5.6
2021,1,3,8:20,UTC,-4.8,7.3
2021,1,3,8:30,UTC,-4.8,10.4
2021,1,3,8:40,UTC,-4.8,11.9
2021,1,3,8:50,UTC,-4.7,13.7
2021,1,3,9:00,UTC,-4.7,18.9
2021,1,3,9:10,UTC,-4.7,21.6
2021,1,3,9:20,UTC,-4.6,23.9
2021,1,3,9:30,UTC,-4.6,23.3
2021,1,3,9:40,UTC,-4.6,24.2
2021,1,3,9:50,UTC,-4.5,26.8
2021,1,3,10:00,UTC,-4.5,31.5
2021,1,3,10:10,UTC,-4.5,29.7
2021,1,3,10:20,UTC,-4.5,26.2
2021,1,3,10:30,UTC,-4.5,28.2
2021,1,3,10:40,UTC,-4.4,28.1
2021,1,3,10:50,UTC,-4.4,25.6
2021,1,3,11:00,UTC,-4.4,24.9
2021,1,3,11:10,UTC,-4.4,23.9
2021,1,3,11:20,UTC,-4.4,21.1
2021,1,3,11:30,UTC,-4.3,24.5
2021,1,3,11:40,UTC,-4.3,23.1
2021,1,3,11:50,UTC,-4.3,20.3
2021,1,3,12:00,UTC,-4.4,17.4
2021,1,3,12:10,UTC,-4.4,13.2
2021,1,3,12:20,UTC,-4.4,13.1
2021,1,3,12:30,UTC,-4.4,11.7
2021,1,3,12:40,UTC,-4.4,9.5
2021,1,3,12:50,UTC,-4.4,7.1
2021,1,3,13:00,UTC,-4.4,6.3
2021,1,3,13:10,UTC,-4.4,5.5
2021,1,3,13:20,UTC,-4.4,2.6
2021,1,3,13:30,UTC,-4.4,2.7
2021,1,3,13:40,UTC,-4.4,0.6
2021,1,3,13:50,UTC,-4.5,-0.3
2021,1,3,14:00,UTC,-4.5,-0.7
2021,1,3,14:10,UTC,-4.4,-0.8
2021,1,3,14:20,UTC,-4.4,-1.2
2021,1,3,14:30,UTC,-4.4,-1.4
2021,1,3,14:40,UTC,-4.4,-1.6
2021,1,3,14:50,UTC,-4.4,-1.3
2021,1,3,15:00,UTC,-4.5,-0.9
2021,1,3,15:10,UTC,-4.5,-1
2021,1,3,15:20,UTC,-4.5,-1
2021,1,3,15:30,UTC,-4.6,-1
2021,1,3,15:40,UTC,-4.5,-1
2021,1,3,15:50,UTC,-4.5,-1.2
2021,1,3,16:00,UTC,-4.5,-1.2
2021,1,3,16:10,UTC,-4.5,-1.1
2021,1,3,16:20,UTC,-4.7,-0.9
2021,1,3,16:30,UTC,-4.7,-1
2021,1,3,16:40,UTC,-4.6,-1
2021,1,3,16:50,UTC,-4.6,-1.1
2021,1,3,17:00,UTC,-4.6,-1
2021,1,3,17:10,UTC,-4.5,-1
2021,1,3,17:20,UTC,-4.6,-1.1
2021,1,3,17:30,UTC,-4.6,-1
2021,1,3,17:40,UTC,-4.6,-1
2021,1,3,17:50,UTC,-4.6,-1.2
2021,1,3,18:00,UTC,-4.7,-1.1
2021,1,3,18:10,UTC,-4.7,-1
2021,1,3,18:20,UTC,-4.8,-1.2
2021,1,3,18:30,UTC,-4.8,-1.2
2021,1,3,18:40,UTC,-4.8,-1.1
2021,1,3,18:50,UTC,-4.9,-1.1
2021,1,3,19:00,UTC,-4.9,-1
2021,1,3,19:10,UTC,-5,-0.9
2021,1,3,19:20,UTC,-5.1,-1.1
2021,1,3,19:30,UTC,-5.1,-0.9
2021,1,3,19:40,UTC,-5.2,-1
2021,1,3,19:50,UTC,-5.2,-1.1
2021,1,3,20:00,UTC,-5.3,-1.1
2021,1,3,20:10,UTC,-5.3,-1.1
2021,1,3,20:20,UTC,-5.3,-1
2021,1,3,20:30,UTC,-5.3,-0.9
2021,1,3,20:40,UTC,-5.4,-1
2021,1,3,20:50,UTC,-5.4,-0.9
2021,1,3,21:00,UTC,-5.4,-0.9
2021,1,3,21:10,UTC,-5.4,-1
2021,1,3,21:20,UTC,-5.4,-0.9
2021,1,3,21:30,UTC,-5.4,-0.7
2021,1,3,21:40,UTC,-5.5,-0.6
2021,1,3,21:50,UTC,-5.5,-1
2021,1,3,22:00,UTC,-5.5,-0.9
2021,1,3,22:10,UTC,-5.6,-0.8
2021,1,3,22:20,UTC,-5.6,-1
2021,1,3,22:30,UTC,-5.6,-0.9
2021,1,3,22:40,UTC,-5.6,-1
2021,1,3,22:50,UTC,-5.6,-0.9
2021,1,3,23:00,UTC,-5.7,-0.5
2021,1,3,23:10,UTC,-5.6,-0.4
2021,1,3,23:20,UTC,-5.7,-0.6
2021,1,3,23:30,UTC,-5.7,-1
2021,1,3,23:40,UTC,-5.6,-0.9
2021,1,3,23:50,UTC,-5.6,-0.8
2021,1,4,0:00,UTC,-5.6,-0.8
2021,1,4,0:10,UTC,-5.6,-0.8
2021,1,4,0:20,UTC,-5.6,-0.8
2021,1,4,0:30,UTC,-5.6,-0.8
2021,1,4,0:40,UTC,-5.6,-0.7
2021,1,4,0:50,UTC,-5.6,-1
2021,1,4,1:00,UTC,-5.5,-0.9
2021,1,4,1:10,UTC,-5.5,-1
2021,1,4,1:20,UTC,-5.5,-0.7
2021,1,4,1:30,UTC,-5.5,-0.8
2021,1,4,1:40,UTC,-5.5,-0.8
2021,1,4,1:50,UTC,-5.4,-1
2021,1,4,2:00,UTC,-5.4,-0.7
2021,1,4,2:10,UTC,-5.4,-0.9
2021,1,4,2:20,UTC,-5.4,-0.9
2021,1,4,2:30,UTC,-5.3,-0.7
2021,1,4,2:40,UTC,-5.3,-0.8
2021,1,4,2:50,UTC,-5.3,-1.1
2021,1,4,3:00,UTC,-5.2,-0.6
2021,1,4,3:10,UTC,-5.2,-0.7
2021,1,4,3:20,UTC,-5.2,-0.9
2021,1,4,3:30,UTC,-5.1,-0.8
2021,1,4,3:40,UTC,-5.1,-0.9
2021,1,4,3:50,UTC,-5.1,-0.7
2021,1,4,4:00,UTC,-5.1,-0.8
2021,1,4,4:10,UTC,-5,-0.8
2021,1,4,4:20,UTC,-5,-1
2021,1,4,4:30,UTC,-5,-1
2021,1,4,4:40,UTC,-5,-0.9
2021,1,4,4:50,UTC,-5,-0.6
2021,1,4,5:00,UTC,-5,-0.7
2021,1,4,5:10,UTC,-5,-0.8
2021,1,4,5:20,UTC,-5,-0.7
2021,1,4,5:30,UTC,-5,-0.8
2021,1,4,5:40,UTC,-5,-0.8
2021,1,4,5:50,UTC,-5,-0.8
2021,1,4,6:00,UTC,-5.1,-1
2021,1,4,6:10,UTC,-5.1,-1.1
2021,1,4,6:20,UTC,-5.1,-0.8
2021,1,4,6:30,UTC,-5.1,-0.9
2021,1,4,6:40,UTC,-5.1,-0.9
2021,1,4,6:50,UTC,-5.1,-0.8
2021,1,4,7:00,UTC,-5.2,-0.5
2021,1,4,7:10,UTC,-5.3,-0.1
2021,1,4,7:20,UTC,-5.5,0.3
2021,1,4,7:30,UTC,-5.6,1.5
2021,1,4,7:40,UTC,-5.7,3.9
2021,1,4,7:50,UTC,-5.9,3.8
2021,1,4,8:00,UTC,-5.9,5.8
2021,1,4,8:10,UTC,-6,8.1
2021,1,4,8:20,UTC,-6,11.2
2021,1,4,8:30,UTC,-6.1,12.6
2021,1,4,8:40,UTC,-6.5,16.3
2021,1,4,8:50,UTC,-6.9,18
2021,1,4,9:00,UTC,-7.3,22
2021,1,4,9:10,UTC,-7.5,23.1
2021,1,4,9:20,UTC,-7.6,25.3
2021,1,4,9:30,UTC,-7.7,28.7
2021,1,4,9:40,UTC,-7.7,28.4
