Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,5,2,15:10,UTC,7.1,164.2
2021,5,2,15:20,UTC,6.9,168.7
2021,5,2,15:30,UTC,6.9,148.4
2021,5,2,15:40,UTC,7,133
2021,5,2,15:50,UTC,7,121.7
2021,5,2,16:00,UTC,7,114.4
2021,5,2,16:10,UTC,6.7,106.5
2021,5,2,16:20,UTC,6.8,106.8
2021,5,2,16:30,UTC,6.7,96.2
2021,5,2,16:40,UTC,6.6,84.2
2021,5,2,16:50,UTC,6.5,79
2021,5,2,17:00,UTC,6.4,61
2021,5,2,17:10,UTC,6.2,46.2
2021,5,2,17:20,UTC,6.1,36.2
2021,5,2,17:30,UTC,5.2,33.1
2021,5,2,17:40,UTC,4.9,24.3
2021,5,2,17:50,UTC,4.5,23.1
2021,5,2,18:00,UTC,4,17
2021,5,2,18:10,UTC,3.7,11.5
2021,5,2,18:20,UTC,3.1,7.4
2021,5,2,18:30,UTC,3.3,2.7
2021,5,2,18:40,UTC,1.8,1.2
2021,5,2,18:50,UTC,1.7,-0.7
2021,5,2,19:00,UTC,1.4,-1.7
2021,5,2,19:10,UTC,1.3,-2.2
2021,5,2,19:20,UTC,1.1,-2.7
2021,5,2,19:30,UTC,0.6,-2.2
2021,5,2,19:40,UTC,-0.3,-1.5
2021,5,2,19:50,UTC,-0.4,-1.6
2021,5,2,20:00,UTC,0.2,-1.2
2021,5,2,20:10,UTC,0.3,-0.9
2021,5,2,20:20,UTC,0,-0.9
2021,5,2,20:30,UTC,0.3,-0.7
2021,5,2,20:40,UTC,0.2,-1
2021,5,2,20:50,UTC,0.2,-1
2021,5,2,21:00,UTC,0.2,-0.4
2021,5,2,21:10,UTC,0.2,-0.8
2021,5,2,21:20,UTC,0.3,-0.9
2021,5,2,21:30,UTC,0.1,-0.9
2021,5,2,21:40,UTC,0.3,-1.3
2021,5,2,21:50,UTC,0.4,-1
2021,5,2,22:00,UTC,0.5,-0.8
2021,5,2,22:10,UTC,0.3,-0.9
2021,5,2,22:20,UTC,0.3,-1
2021,5,2,22:30,UTC,0.2,-1.3
2021,5,2,22:40,UTC,0.2,-1
2021,5,2,22:50,UTC,0.2,-0.9
2021,5,2,23:00,UTC,0.2,-1.1
2021,5,2,23:10,UTC,0,-1.2
2021,5,2,23:20,UTC,-0.4,-1.9
2021,5,2,23:30,UTC,-1.1,-2
2021,5,2,23:40,UTC,-1.2,-1.9
2021,5,2,23:50,UTC,-1.1,-2.3
2021,5,3,0:00,UTC,-1,-2.4
2021,5,3,0:10,UTC,-2.4,-2.1
2021,5,3,0:20,UTC,-2.6,-2.1
2021,5,3,0:30,UTC,-3,-1.9
2021,5,3,0:40,UTC,-3.1,-2
2021,5,3,0:50,UTC,-3.3,-2.2
2021,5,3,1:00,UTC,-3.2,-2
2021,5,3,1:10,UTC,-3.2,-1.2
2021,5,3,1:20,UTC,-3.3,-0.9
2021,5,3,1:30,UTC,-3.4,-0.2
2021,5,3,1:40,UTC,-3,2.3
2021,5,3,1:50,UTC,-2.9,4.4
2021,5,3,2:00,UTC,-2.7,5.8
2021,5,3,2:10,UTC,-3.1,12.7
2021,5,3,2:20,UTC,-3.4,20.5
2021,5,3,2:30,UTC,-3.1,31.9
2021,5,3,2:40,UTC,-3.1,45.5
2021,5,3,2:50,UTC,-3,56.3
2021,5,3,3:00,UTC,-3,74.5
2021,5,3,3:10,UTC,-2.6,79
2021,5,3,3:20,UTC,-2.2,86.5
